iter	RMSE
178	0.4772084123
179	0.4767713076
180	0.4765217477
181	0.4761892064
182	0.4758880994
183	0.4756279626
184	0.4754419246
185	0.4751638538
186	0.4749621783
187	0.4736596445
188	0.4729810856
189	0.4727718605
190	0.4725164595
191	0.4722126593
192	0.4716851117
193	0.4710247748
194	0.4707059999
195	0.4706202804
196	0.4704619518
197	0.4702657739
198	0.4698117496
199	0.4695257775
200	0.469022524
201	0.4688022246
202	0.4677108153
203	0.4676046873
204	0.4671708552
205	0.4670290574
206	0.4668196936
207	0.4663727604
208	0.4656422998
209	0.4654638
210	0.4652663345
211	0.4647583517
212	0.4645656649
213	0.4643779078
214	0.4640839646
215	0.4638132537
216	0.4633952137
217	0.4632432843
218	0.4627002274
219	0.4624741015
220	0.4623791711
221	0.4621835821
222	0.4616214962
223	0.4611673951
224	0.4609716876
225	0.4607998342
226	0.4606210056
227	0.460380384
228	0.4602536839
229	0.459875512
230	0.4597025426
231	0.4592314361
232	0.4591330972
233	0.4587746778
234	0.4583566295
235	0.458147321
236	0.457887116
237	0.45780741
238	0.4576503215
239	0.4574710214
240	0.4572825141
241	0.4571643585
242	0.4571197696
243	0.4569792868
244	0.4567197177
245	0.4562755774
246	0.4559931154
247	0.4558256106
248	0.4551269911
249	0.4549763822
250	0.4547782028
251	0.4543323132
252	0.4541068209
253	0.4539939743
254	0.4538537676
255	0.4536089953
256	0.4532916899
257	0.4529969185
258	0.4529065438
259	0.4526619037
260	0.4525906805
261	0.4524861253
262	0.4523355443
263	0.452137029
264	0.4519299977
265	0.451647624
266	0.4514313656
267	0.4513753189
268	0.451179454
269	0.4510513407
270	0.4508027444
271	0.4506683318
272	0.450606167
273	0.4504381831
274	0.450080141
275	0.4499947495
276	0.4498319835
277	0.4495663673
278	0.4494197333
279	0.4492051807
280	0.4488962202
281	0.4487461785
282	0.448377687
283	0.4481053069
284	0.4479994917
285	0.447793099
286	0.4476912088
287	0.4475114366
288	0.4473628377
289	0.4471203255
290	0.4469799047
291	0.4468450358
292	0.4465261587
293	0.4462173365
294	0.4460878934
295	0.4460108057
296	0.4457370769
297	0.4455726832
298	0.4453978183
299	0.445134021
300	0.4445336439
301	0.4444184743
302	0.4441183488
303	0.4439963728
304	0.4434701137
305	0.4433846985
306	0.4432741204
307	0.4431238189
308	0.4428796374
309	0.4427558713
310	0.4426341299
311	0.4425351124
312	0.4424634089
313	0.4422983649
314	0.4421561562
315	0.4420254944
316	0.4419002717
317	0.4417675066
318	0.4415471196
319	0.4414670567
320	0.4413836654
321	0.4412639358
322	0.4411525786
323	0.4410730645
324	0.4409893688
325	0.4408385447
326	0.4405860984
327	0.4404932555
328	0.4403582665
329	0.440238443
330	0.4400499392
331	0.4396269132
332	0.4394881303
333	0.4393717834
334	0.4392478108
335	0.4391669019
336	0.4390963613
337	0.4390122995
338	0.4389465582
339	0.4388548207
340	0.4386889235
341	0.4384382145
342	0.4382874122
343	0.4378280511
344	0.4377802823
345	0.4376092218
346	0.43745976
347	0.437347718
348	0.4371799017
349	0.4370768587
350	0.436867113
351	0.4367882501
352	0.4366761821
353	0.4366051871
354	0.4363702567
355	0.4362973609
356	0.436056459
357	0.4359288175
358	0.4358084906
359	0.4356682605
360	0.4354977611
361	0.4354246342
362	0.4352990966
363	0.4351821822
364	0.4350581634
365	0.4349276457
366	0.4348115509
367	0.4347034113
368	0.4346504501
369	0.4345686747
370	0.4344927474
371	0.4344141913
372	0.4343406959
373	0.4342294123
374	0.4341477847
375	0.4340854337
376	0.4340357074
377	0.4339838406
378	0.4338974391
379	0.4336102492
380	0.4335422914
381	0.4334624258
382	0.4333295028
383	0.4332268535
384	0.4328994677
385	0.4327418766
386	0.4326697712
387	0.4325461209
388	0.4324370323
389	0.4323554446
390	0.432309639
391	0.4322192292
392	0.4319994751
393	0.4319410496
394	0.4317157997
395	0.4315358666
396	0.4313189093
397	0.4311547072
398	0.4308677209
399	0.4307921682
400	0.4307167197
401	0.4306192391
402	0.4305697484
403	0.4304839876
404	0.4302908849
405	0.4302150985
406	0.4299910597
407	0.4299332648
408	0.4298594024
409	0.42977795
410	0.4296011318
411	0.4295191131
412	0.4294541727
413	0.429406721
414	0.4293064561
415	0.4291720479
416	0.4290796175
417	0.4289719292
418	0.4289035629
419	0.4287951202
420	0.4287175924
421	0.428639077
422	0.4285331323
423	0.4285011717
424	0.4284037639
425	0.4282785307
426	0.428147232
427	0.4280218367
428	0.4278819561
429	0.4277789474
430	0.4276491559
431	0.4275882356
432	0.4275350146
433	0.4273669469
434	0.4273122931
435	0.42726789
436	0.4271675718
437	0.427112114
438	0.4270325139
439	0.426969271
440	0.4268560792
441	0.4267757679
442	0.4267080321
443	0.426594848
444	0.4265500565
445	0.4264976112
446	0.4263987482
447	0.4263007593
448	0.4261931026
449	0.4260805378
450	0.4260434957
451	0.4259702807
452	0.4258753585
453	0.4258556955
454	0.4258132556
455	0.425765223
456	0.4256026094
457	0.4255651565
458	0.4254495077
459	0.4253299991
460	0.4252764531
461	0.4252125519
462	0.4251742712
463	0.4250085898
464	0.4249414795
465	0.4248183774
466	0.4247178827
467	0.4246674862
468	0.4245977311
469	0.4245356602
470	0.4244784868
471	0.4244200795
472	0.4243265867
473	0.4242892232
474	0.4242434838
475	0.4241078887
476	0.4239213208
477	0.4238698149
478	0.4238346798
479	0.4237987098
480	0.423738989
481	0.4235545675
482	0.423510291
483	0.4234641529
484	0.4234264039
485	0.4233381163
486	0.4232806758
487	0.4232371189
488	0.4229104974
489	0.4228110259
490	0.4227847995
491	0.4227140204
492	0.4226587387
493	0.4225823632
494	0.4224985711
495	0.4223047816
496	0.4221593953
497	0.4220818845
498	0.4219635442
499	0.4219262746
500	0.4218169041
501	0.4217282004
502	0.4215565581
503	0.4215270002
504	0.4213890202
505	0.4211770373
506	0.4210291004
507	0.4209868678
508	0.4209124712
509	0.4208049484
510	0.4205219839
511	0.4204727732
512	0.4204535267
513	0.4203321983
514	0.4202521838
515	0.4201999981
516	0.4201467626
517	0.4200960521
518	0.4200286772
519	0.4200016413
520	0.419903113
521	0.4197401668
522	0.4195011715
523	0.4194270543
524	0.4193101838
525	0.4192525176
526	0.4192073028
527	0.4191524486
528	0.4190990656
529	0.4190612554
530	0.4188886458
531	0.4188436515
532	0.4187436765
533	0.4186636983
534	0.4185734064
535	0.4185394339
536	0.4184296197
537	0.418308548
538	0.4182646357
539	0.4181338068
540	0.4179446582
541	0.4179006714
542	0.4178243496
543	0.4177507667
544	0.4176836617
545	0.4176461975
546	0.4174993631
547	0.4174399511
548	0.4174118501
549	0.4172994948
550	0.4172618928
551	0.4172219344
552	0.417159563
553	0.4170775904
554	0.4170131265
555	0.4169288231
556	0.4168811986
557	0.4168444655
558	0.4167747796
559	0.416730045
560	0.4166593346
561	0.4165813038
562	0.4165127806
563	0.4164739306
564	0.4164346138
565	0.4163752947
566	0.4163104609
567	0.4162426457
568	0.4162160044
569	0.4160598047
570	0.4158909952
571	0.4158292917
572	0.4157627796
573	0.4156895319
574	0.4156485648
575	0.4155771066
576	0.4155284386
577	0.415466866
578	0.4153814506
579	0.41529266
580	0.4152513185
581	0.4152106451
582	0.4151567418
583	0.4150710311
584	0.4150285376
585	0.414998536
586	0.4148502099
587	0.4147836468
588	0.4147358314
589	0.4147062183
590	0.4145946959
591	0.4145248425
592	0.4144612158
593	0.4143929496
594	0.414332398
595	0.414273682
596	0.4141825287
597	0.4141478933
598	0.4141080642
599	0.4140510051
600	0.414009139
601	0.4139472195
602	0.4138477416
603	0.4137951748
604	0.4137268871
605	0.4136664477
606	0.4136103682
607	0.4135843007
608	0.4134705019
609	0.413389194
610	0.4133410928
611	0.4132878848
612	0.4132410738
613	0.4131861105
614	0.413158318
615	0.4131334389
616	0.4131085575
617	0.4130056023
618	0.4129753594
619	0.4129039518
620	0.4128431148
621	0.4127970905
622	0.4127679919
623	0.4126938761
624	0.4126520464
625	0.4126116213
626	0.4125599481
627	0.4125306998
628	0.4124884444
629	0.4124575523
630	0.4124135343
631	0.4123836416
632	0.4123337375
633	0.4122938966
634	0.4122536763
635	0.4121792716
636	0.4120983827
637	0.412063356
638	0.4118445121
639	0.4117883686
640	0.4117631537
641	0.4117031234
642	0.4116517255
643	0.4115727569
644	0.4115244759
645	0.4114731122
646	0.4113256769
647	0.4112884752
648	0.4112309346
649	0.4111716759
650	0.4111462567
651	0.4111002139
652	0.4110244753
653	0.4109847951
654	0.4109692554
655	0.4108714473
656	0.4108457349
657	0.4108130986
658	0.4107406188
659	0.4106862584
660	0.4106343097
661	0.4105150516
662	0.4103398189
663	0.4103076139
664	0.4102729116
665	0.4102480828
666	0.4102113761
667	0.4101922132
668	0.4101638116
669	0.410107876
670	0.4100373622
671	0.4099922237
672	0.4098928914
673	0.4098405244
674	0.4097776763
675	0.4097276196
676	0.4096912885
677	0.4096520814
678	0.4096170683
679	0.4095857508
680	0.409553925
681	0.409479278
682	0.4093870783
683	0.4093470199
684	0.4092300589
685	0.4091898344
686	0.4091219637
687	0.4089755639
688	0.4088745869
689	0.4088432152
690	0.4088177397
691	0.4087560812
692	0.4086353255
693	0.4084852706
694	0.4084624136
695	0.4083558697
696	0.4083080404
697	0.4082116785
698	0.40812595
699	0.4080626091
700	0.4080196475
701	0.4079532153
702	0.4079168955
703	0.4078695491
704	0.4078306541
705	0.4077554336
706	0.4077063759
707	0.407648991
708	0.4075348447
709	0.4074287736
710	0.40722306
711	0.4071804001
712	0.4071205436
713	0.4070726232
714	0.4070531666
715	0.4069768063
716	0.4068956538
717	0.4068202938
718	0.406792206
719	0.4067243207
720	0.4066904911
721	0.4066576153
722	0.4064833881
723	0.4064373911
724	0.4063594178
725	0.4062942504
726	0.4061488532
727	0.4060641133
728	0.4060367617
729	0.4060098321
730	0.4059870351
731	0.4059513825
732	0.4058931551
733	0.4058567874
734	0.4058078508
735	0.405721299
736	0.4056912293
737	0.4056494194
738	0.4056169673
739	0.4055641816
740	0.4055350472
741	0.4054665637
742	0.405425049
743	0.4053548339
744	0.4053213461
745	0.4053008908
746	0.4052422428
747	0.4052029102
748	0.4051397277
749	0.4050967335
750	0.4050465925
751	0.4049620498
752	0.4048769977
753	0.4048561366
754	0.4048329798
755	0.4047944871
756	0.4047538916
757	0.4047062159
758	0.4046736434
759	0.4046456548
760	0.4046078614
761	0.4045411578
762	0.4044700986
763	0.4044346549
764	0.404398669
765	0.404373004
766	0.4043115802
767	0.4042200436
768	0.4041474214
769	0.4041213978
770	0.4040631689
771	0.4040358622
772	0.4040108718
773	0.4039867552
774	0.403956818
775	0.40393546
776	0.4039077286
777	0.4038515944
778	0.4038052026
779	0.4037042852
780	0.4036250299
781	0.4036068132
782	0.4035858987
783	0.4035171371
784	0.403493353
785	0.4034411167
786	0.40339473
787	0.4033130397
788	0.403272375
789	0.4032419064
790	0.4032202735
791	0.4031846841
792	0.4031698387
793	0.4030901161
794	0.4030419273
795	0.4029828352
796	0.4029614471
797	0.4028935494
798	0.4028652749
799	0.4028303226
800	0.4027890697
801	0.4027309125
802	0.4027088336
803	0.4026814068
804	0.4026390219
805	0.402619557
806	0.4025802434
807	0.4025463757
808	0.4025249839
809	0.402408744
810	0.4023818783
811	0.4023547459
812	0.4023094517
813	0.4022690819
814	0.4022160876
815	0.4021984671
816	0.402179357
817	0.4021358859
818	0.4020841589
819	0.4020435737
820	0.4019140605
821	0.4018868364
822	0.4018369471
823	0.4017864214
824	0.4017424769
825	0.4017077624
826	0.4016450935
827	0.401602478
828	0.4015176736
829	0.4014767229
830	0.4014466625
831	0.401392908
832	0.4013627345
833	0.4013434186
834	0.4013168858
835	0.4012888596
836	0.4012436682
837	0.4012012483
838	0.4011098035
839	0.4010511612
840	0.4010285593
841	0.4009982007
842	0.4009542191
843	0.4009302641
844	0.4008974593
845	0.4008543003
846	0.4008137652
847	0.4007890628
848	0.4007505147
849	0.4007091159
850	0.4006652003
851	0.4006303999
852	0.4006086572
853	0.4005762417
854	0.4005412587
855	0.400508041
856	0.4004523303
857	0.4004176881
858	0.4003849178
859	0.4003611956
860	0.4003604114
861	0.4003182178
862	0.4002768472
863	0.4002507164
864	0.4001163262
865	0.4000932275
866	0.4000577737
867	0.4000090065
868	0.3999547539
869	0.3999072579
870	0.3998753812
871	0.3998196635
872	0.3997862547
873	0.3997319372
874	0.3996959844
875	0.3996472405
876	0.3996164078
877	0.3995911955
878	0.3995560564
879	0.3995043467
880	0.3994832289
881	0.3994460645
882	0.3994052267
883	0.3993586569
884	0.3993227675
885	0.399262615
886	0.3992339688
887	0.3990894706
888	0.3989949372
889	0.3989655233
890	0.3988382241
891	0.3987892895
892	0.3987550974
893	0.398731571
894	0.3987023649
895	0.398683958
896	0.3986275697
897	0.3985828175
898	0.3984430206
899	0.3983757378
900	0.3983441612
901	0.3982461787
902	0.3982274758
903	0.3981970611
904	0.3981411273
905	0.3980827191
906	0.3980316681
907	0.3979947291
908	0.3979477761
909	0.3979224737
910	0.3978980717
911	0.3978740668
912	0.3978372923
913	0.3978176652
914	0.397777749
915	0.397748874
916	0.3977177863
917	0.3976793783
918	0.3976535641
919	0.3976106377
920	0.3975598286
921	0.3975136279
922	0.3974553615
923	0.3974185865
924	0.3972980041
925	0.3972749214
926	0.3971920502
927	0.397177929
928	0.3971315455
929	0.3970680271
930	0.3970456308
931	0.3969883365
932	0.3969395885
933	0.3968967915
934	0.3968708254
935	0.3968507026
936	0.3968347064
937	0.396810307
938	0.39677428
939	0.3966967443
940	0.3966715082
941	0.3966605902
942	0.3966134392
943	0.39657491
944	0.3965580135
945	0.3965252831
946	0.3964875803
947	0.3964687088
948	0.3964182156
949	0.3963719036
950	0.3963379787
951	0.3963234279
952	0.3962883565
953	0.3962536347
954	0.3962233099
955	0.3961863298
956	0.3961647796
957	0.3961129607
958	0.3960724983
959	0.3960444515
960	0.3959979115
961	0.3959659829
962	0.3958934413
963	0.39586305
964	0.3958084954
965	0.395765482
966	0.3957494637
967	0.3957378637
968	0.3956851903
969	0.395662531
970	0.3956431597
971	0.395610571
972	0.3955418986
973	0.3955088849
974	0.3954486224
975	0.3954033153
976	0.3953770564
977	0.3953387486
978	0.3952904537
979	0.395236788
980	0.3952040175
981	0.3951750725
982	0.3951093042
983	0.3950716776
984	0.3950312823
985	0.3949287642
986	0.3948957837
987	0.3948661445
988	0.3948425709
989	0.3948096634
990	0.3947451383
991	0.3947053263
992	0.3946068713
993	0.3945710041
994	0.3945303487
995	0.3945044098
996	0.3944747336
997	0.3944276529
998	0.3943851828
999	0.3943575163
